fixed_costs,variable_cost_per_unit,price_per_unit,units_sold,marketing_spend,employee_count,total_revenue,total_costs,profit_or_loss,status
6788,25.01,87.64,2371,8838,17,207794.44,83424.71,124369.73,Profit
6408,38.41,70.6,905,18600,76,63893,97769.05,-33876.05,Loss
10446,15.27,69.92,1067,2977,17,74604.64,38216.09,36388.55,Profit
1922,7.63,17.66,2270,13635,111,40088.2,88377.1,-48288.9,Loss
1419,18.5,86.72,4730,10155,120,410185.6,159079,251106.6,Profit
19588,26.34,99.12,3554,10937,144,352272.48,196137.36,156135.12,Profit
11789,12.56,109.1,4600,15832,119,501860,144897,356963,Profit
2120,20.97,47.75,245,10002,78,11698.75,56259.65,-44560.9,Loss
12260,23,25.83,4744,868,3,122537.52,123740,-1202.48,Loss
18334,7.58,62.6,1382,19733,108,86513.2,102542.56,-16029.36,Loss
3336,31.25,102.22,4701,14098,51,480536.22,189840.25,290695.97,Profit
6373,44.8,124.05,1567,3247,114,194386.35,136821.6,57564.75,Profit
3243,11.83,32.01,4584,8062,94,146733.84,112533.72,34200.12,Profit
5612,31.9,58.81,2747,7639,174,161551.07,187880.3,-26329.23,Loss
14946,34.91,86.66,4504,10510,116,390316.64,240690.64,149626,Profit
19249,23.87,57.6,3157,7204,183,181843.2,193310.59,-11467.39,Loss
12104,36.55,122.74,1107,2387,105,135873.18,107451.85,28421.33,Profit
14429,23.48,71.38,2755,12475,99,196651.9,141091.4,55560.5,Profit
7371,27.71,107.87,2113,16943,154,227929.31,159865.23,68064.08,Profit
7359,5.33,63.81,2842,1044,76,181348.02,61550.86,119797.16,Profit
8863,36.13,113.67,470,19948,159,53424.9,125292.1,-71867.2,Loss
4228,34.76,68.69,4698,14055,81,322705.62,222085.48,100620.14,Profit
15382,6.73,90.04,2864,18114,72,257874.56,88770.72,169103.84,Profit
19755,21.57,49.75,2890,15313,147,143777.5,170905.3,-27127.8,Loss
3891,49.06,104.12,1081,13833,196,112553.72,168757.86,-56204.14,Loss
4756,23.93,46.12,1541,17442,143,71070.92,130574.13,-59503.21,Loss
16770,27.59,75.67,1935,15184,111,146421.45,140840.65,5580.8,Profit
17478,45.95,78.45,4997,9361,58,392014.65,285451.15,106563.5,Profit
3674,37.28,64.68,559,17954,78,36156.12,81467.52,-45311.4,Loss
7898,31.19,127.92,1909,1550,158,244199.28,147989.71,96209.57,Profit
11147,40.9,57.75,1908,14792,48,110187,127976.2,-17789.2,Loss
1793,43.9,122.85,963,16256,56,118304.55,88324.7,29979.85,Profit
3116,25.56,123.99,2115,4522,42,262238.85,82697.4,179541.45,Profit
6779,26.38,29.35,3016,8836,24,88519.6,107177.08,-18657.48,Loss
13298,22.37,92.57,4939,3134,110,457203.23,181917.43,275285.8,Profit
15153,48.5,74.54,3887,7788,52,289736.98,237460.5,52276.48,Profit
12111,36.37,41.38,1646,9492,171,68111.48,166968.02,-98856.54,Loss
11789,8.75,49.64,4492,1985,34,222982.88,70079,152903.88,Profit
12397,43.83,137.42,1105,19707,188,151849.1,174536.15,-22687.05,Loss
13999,26.63,28.79,1073,17556,3,30891.67,61628.99,-30737.32,Loss
1814,8.09,67.29,3254,12666,68,218961.66,74804.86,144156.8,Profit
17729,29.74,80.38,625,18298,139,50237.5,124114.5,-73877,Loss
11541,23.77,111.24,248,4394,141,27587.52,92329.96,-64742.44,Loss
3443,44.5,53.82,1415,4346,50,76155.3,95756.5,-19601.2,Loss
11457,14.18,82.65,2048,14981,82,169267.2,96478.64,72788.56,Profit
11380,42.19,110.52,1066,9886,19,117814.32,75740.54,42073.78,Profit
8783,30.1,97.34,3668,18908,44,357043.12,160097.8,196945.32,Profit
12473,7.46,101.75,75,18241,161,7631.25,111773.5,-104142.25,Loss
18368,48.73,131.22,1608,15496,166,211001.76,195221.84,15779.92,Profit
16328,28.07,33.23,3774,8548,3,125410.02,132312.18,-6902.16,Loss
1827,18.09,65.73,3508,1068,113,230580.84,122854.72,107726.12,Profit
8147,26.12,66.52,3406,6990,65,226567.12,136601.72,89965.4,Profit
5451,43.6,75.3,2417,2445,163,182000.1,194777.2,-12777.1,Loss
16343,18.72,64.4,520,17291,164,33488,125368.4,-91880.4,Loss
14635,13.67,52.71,2517,4728,166,132671.07,136770.39,-4099.32,Loss
6959,10.81,54.61,4796,12445,39,261909.56,90748.76,171160.8,Profit
1126,18.4,116.35,935,9305,153,108787.25,104135,4652.25,Profit
9795,40.1,49.87,925,7631,64,46129.75,86518.5,-40388.75,Loss
12641,26.22,118.52,991,2718,104,117453.32,93343.02,24110.3,Profit
8196,15.24,63.78,3091,15475,13,197143.98,77277.84,119866.14,Profit
12559,12.48,75.23,621,16109,68,46717.83,70418.08,-23700.25,Loss
4368,19.97,103.16,4199,8211,70,433168.84,131433.03,301735.81,Profit
4797,47.3,83.99,654,12491,75,54929.46,85722.2,-30792.74,Loss
16114,20.44,64.05,4470,12605,1,286303.5,120585.8,165717.7,Profit
14718,49.47,91.01,3579,17377,182,325724.79,300148.13,25576.66,Profit
2792,26.84,64.94,4410,15738,98,286385.4,185894.4,100491,Profit
12053,13.06,105.69,431,4368,104,45552.39,74049.86,-28497.47,Loss
4476,45.1,128.16,1286,12026,116,164813.76,132500.6,32313.16,Profit
4417,25.72,37.51,2430,10560,137,91149.3,145976.6,-54827.3,Loss
2645,36.94,48.64,3829,5933,164,186242.56,232021.26,-45778.7,Loss
15755,49.27,92.63,2155,18322,113,199617.65,196753.85,2863.8,Profit
4072,7.26,18.03,1567,1852,103,28253.01,68800.42,-40547.41,Loss
2854,9.35,71.64,1583,8736,37,113406.12,44891.05,68515.07,Profit
5662,37.42,52.65,3344,19264,106,176061.6,203058.48,-26996.88,Loss
7514,17.68,70.39,3490,5060,187,245661.1,167777.2,77883.9,Profit
3708,13.29,15,3539,17083,108,53085,121824.31,-68739.31,Loss
12694,6.77,39.11,3995,16060,21,156244.45,66300.15,89944.3,Profit
10524,5.98,74.02,4692,4924,148,347301.84,117506.16,229795.68,Profit
7456,39.85,88.77,920,8347,129,81668.4,116965,-35296.6,Loss
5212,11.05,108.9,2200,14695,187,239580,137717,101863,Profit
14224,26.05,113.59,3282,5297,28,372802.38,119017.1,253785.28,Profit
8970,32.27,68.82,3281,14809,199,225798.42,229156.87,-3358.45,Loss
17920,24.28,29.78,3816,19652,184,113640.48,222224.48,-108584,Loss
2625,6.22,90.94,3257,2907,108,296191.58,79790.54,216401.04,Profit
11314,40.26,131.47,4543,4291,9,597268.21,203006.18,394262.03,Profit
8973,5.47,87.71,4537,19730,193,397940.27,150020.39,247919.88,Profit
9577,39.29,52.96,3876,7008,164,205272.96,250873.04,-45600.08,Loss
9070,45.2,144.99,1662,14907,162,240973.38,180099.4,60873.98,Profit
9666,24.48,51.08,1127,10129,32,57567.16,63383.96,-5816.8,Loss
4600,29.1,101.8,1350,626,66,137430,77511,59919,Profit
7783,26.46,117.36,2208,10312,100,259130.88,126518.68,132612.2,Profit
14226,22.51,46.84,2321,8194,153,108715.64,151165.71,-42450.07,Loss
10146,44.93,135.85,2579,3819,179,350357.15,219339.47,131017.68,Profit
5971,45.23,76.87,3310,9173,191,254439.7,260355.3,-5915.6,Loss
14490,20.11,117.77,413,5931,173,48639.01,115226.43,-66587.42,Loss
18589,32.68,61.52,895,4878,154,55060.4,129715.6,-74655.2,Loss
13951,46.71,142.1,3082,19005,21,437952.2,187416.22,250535.98,Profit
13312,48.29,54.59,1377,11512,82,75170.43,132319.33,-57148.9,Loss
2990,27.9,99.12,3212,6990,179,318373.44,189094.8,129278.64,Profit
6299,25.38,79.06,441,11063,24,34865.46,40554.58,-5689.12,Loss
13997,17.54,65.85,3305,17122,111,217634.25,144588.7,73045.55,Profit
14472,48.15,71.28,2109,1920,92,150329.52,163940.35,-13610.83,Loss
5380,11.43,82.28,3287,15172,12,270454.36,64122.41,206331.95,Profit
5757,31.09,50.98,2096,840,139,106854.08,141261.64,-34407.56,Loss
11395,17.71,73.44,4291,12042,155,315131.04,176930.61,138200.43,Profit
17241,17.56,43.63,1355,8020,23,59118.65,60554.8,-1436.15,Loss
6588,23.22,118.83,2944,11685,161,349835.52,167132.68,182702.84,Profit
18350,49.95,53.78,2082,5487,92,111969.96,173832.9,-61862.94,Loss
5944,7.47,28.24,814,13249,166,22987.36,108273.58,-85286.22,Loss
14395,31.03,56.02,548,5912,183,30698.96,128811.44,-98112.48,Loss
18072,8.72,50.71,3418,8170,198,173326.78,155046.96,18279.82,Profit
5243,11.95,35.99,2994,19379,170,107754.06,145400.3,-37646.24,Loss
10916,24.78,74.42,3854,14266,123,286814.68,182184.12,104630.56,Profit
10984,27.97,115.34,4263,8823,157,491694.42,217543.11,274151.31,Profit
2759,16.65,88.14,4510,2357,34,397511.4,97207.5,300303.9,Profit
10181,19.24,77.66,185,14955,125,14367.1,91195.4,-76828.3,Loss
3482,8.91,18.72,1150,1004,57,21528,43232.5,-21704.5,Loss
1951,18.64,88.35,1921,7967,3,169720.35,47225.44,122494.91,Profit
3079,48.5,65.98,4083,19040,6,269396.34,223144.5,46251.84,Profit
3717,47.51,126.36,4163,8984,48,526036.68,234485.13,291551.55,Profit
10692,20.07,45.83,4062,12342,102,186161.46,155558.34,30603.12,Profit
8311,30.69,72.98,254,5423,192,18536.92,117529.26,-98992.34,Loss
19449,45.93,81.63,4644,9751,120,379089.72,302498.92,76590.8,Profit
1768,5.28,91.3,2421,16420,13,221037.3,37470.88,183566.42,Profit
6490,41.48,55.01,4740,10995,36,260747.4,232100.2,28647.2,Profit
16534,47.68,104.68,611,13819,70,63959.48,94485.48,-30526,Loss
7645,9.11,24.17,3364,19679,33,81307.88,74470.04,6837.84,Profit
6232,12.27,83.04,4010,9893,105,332990.4,117827.7,215162.7,Profit
12485,48.23,138.83,2576,7400,57,357626.08,172625.48,185000.6,Profit
6797,29.19,73.22,2261,2660,55,165550.42,102955.59,62594.83,Profit
13342,5.64,54.96,2421,16736,107,133058.16,97232.44,35825.72,Profit
9038,16.59,109.4,4785,6721,141,523479,165642.15,357836.85,Profit
17002,25.25,77.83,2731,10538,51,212553.73,121997.75,90555.98,Profit
14087,36.18,85.45,2856,8755,92,244045.2,172172.08,71873.12,Profit
5873,37.99,96.24,3819,3199,53,367540.56,180655.81,186884.75,Profit
2481,49.79,119.02,2305,11625,36,274341.1,146871.95,127469.15,Profit
11093,17.94,29.52,4460,15901,133,131659.2,173506.4,-41847.2,Loss
15422,29.22,111.51,950,872,119,105934.5,103553,2381.5,Profit
17438,29,73.11,1800,15044,25,131598,97182,34416,Profit
8643,23.25,31.41,4949,19398,81,155448.09,183605.25,-28157.16,Loss
16708,12.61,91.44,3345,17815,37,305866.8,95203.45,210663.35,Profit
12271,48.99,87.31,3209,2490,19,280177.79,181469.91,98707.88,Profit
18216,43.4,54.34,1502,10107,35,81618.68,111009.8,-29391.12,Loss
13600,27.42,91.16,1293,7290,107,117869.88,109844.06,8025.82,Profit
11998,32.15,120.28,2372,9053,162,285304.16,178310.8,106993.36,Profit
15295,15.23,104.12,1720,5883,54,179086.4,74373.6,104712.8,Profit
11682,29.47,125.28,2077,16075,174,260206.56,175966.19,84240.37,Profit
17380,36.27,123.17,1818,1215,6,223923.06,87533.86,136389.2,Profit
9519,28.18,29.39,3713,10337,129,109125.07,188988.34,-79863.27,Loss
4300,49.56,88.2,2352,18431,199,207446.4,238796.12,-31349.72,Loss
7722,32.51,114.55,1219,14450,34,139636.45,78801.69,60834.76,Profit
8218,21.69,58.95,4760,8492,56,280602,147954.4,132647.6,Profit
4054,39.75,100.3,2482,17535,97,248944.6,168748.5,80196.1,Profit
14575,12.67,73.7,436,1550,26,32133.2,34649.12,-2515.92,Loss
8970,22.3,59.44,2480,13857,170,147411.2,163131,-15719.8,Loss
3143,20.61,111.15,3398,5242,91,377687.7,123917.78,253769.92,Profit
10503,24.43,75.25,1455,13869,38,109488.75,78917.65,30571.1,Profit
16149,40.18,87.19,173,5544,154,15083.87,105644.14,-90560.27,Loss
19922,26.79,126.54,4047,10788,59,512107.38,168629.13,343478.25,Profit
13175,40.73,90.59,3502,7761,127,317246.18,227072.46,90173.72,Profit
9356,30.94,49.6,3946,11346,24,195721.6,154791.24,40930.36,Profit
16070,20.39,72.18,1674,18564,111,120829.32,124266.86,-3437.54,Loss
1822,41.45,123.04,1231,10299,21,151462.24,73645.95,77816.29,Profit
18327,15.72,93.63,777,4022,60,72750.51,64563.44,8187.07,Profit
15289,15.1,94.17,3934,14190,90,370464.78,133882.4,236582.38,Profit
7150,27.7,98.79,3720,2557,148,367498.8,186751,180747.8,Profit
5425,16.74,42.91,1191,3221,6,51105.81,31583.34,19522.47,Profit
17032,5.41,91.76,2425,5321,195,222518,132972.25,89545.75,Profit
3198,34.17,123.62,4081,3063,10,504493.22,150708.77,353784.45,Profit
4452,28,48.22,408,15059,140,19673.76,100935,-81261.24,Loss
10106,25.05,38.97,3792,14192,97,147774.24,167787.6,-20013.36,Loss
14859,48.51,146.09,2894,16161,150,422784.46,246407.94,176376.52,Profit
18692,30.7,117.66,4588,702,190,539824.08,255245.6,284578.48,Profit
9705,43.85,133.28,2261,1441,189,301346.08,204790.85,96555.23,Profit
11112,11.28,100.03,1022,17472,80,102230.66,80112.16,22118.5,Profit
5841,30.61,85.24,410,9262,17,34948.4,36153.1,-1204.7,Loss
16358,44.06,109.05,2682,10037,138,292472.1,213563.92,78908.18,Profit
2409,31.24,86.23,3240,2142,140,279385.2,175768.6,103616.6,Profit
5566,37.31,43.38,4998,1865,83,216813.24,235406.38,-18593.14,Loss
12382,21.74,96.54,1674,8056,40,161607.96,76830.76,84777.2,Profit
18939,9.16,60.19,3978,508,151,239435.82,131385.48,108050.34,Profit
15596,25.61,90.73,1806,17415,168,163858.38,163262.66,595.72,Profit
1804,22.75,73.51,290,1535,74,21317.9,46936.5,-25618.6,Loss
14221,44.02,93.71,4811,13263,74,450838.81,276264.22,174574.59,Profit
2279,15.98,33.99,1025,18501,50,34839.75,62159.5,-27319.75,Loss
14192,48.5,77.09,4368,7222,10,336729.12,238262,98467.12,Profit
8083,48.12,64.85,2363,17960,103,153240.55,191250.56,-38010.01,Loss
12093,16.14,36.51,1355,4515,94,49471.05,85477.7,-36006.65,Loss
18771,20.66,117.98,837,7629,132,98749.26,109692.42,-10943.16,Loss
13880,45.3,61.46,2478,3462,129,152297.88,194095.4,-41797.52,Loss
16517,48.5,76.16,605,5340,43,46076.8,72699.5,-26622.7,Loss
3106,24.95,84.42,2159,17796,83,182262.78,116269.05,65993.73,Profit
17086,19.44,80.85,4992,15837,133,403603.2,196467.48,207135.72,Profit
5831,28.67,44.91,2699,6199,104,121212.09,141410.33,-20198.24,Loss
4186,35.95,115.53,1609,6422,34,185887.77,85451.55,100436.22,Profit
3573,17.31,96.05,4285,15362,194,411574.25,190108.35,221465.9,Profit
13808,38.14,62.63,1413,14098,24,88496.19,93797.82,-5301.63,Loss
3599,7.32,36.9,4009,2398,142,147932.1,106342.88,41589.22,Profit
5033,7.22,101.08,639,3322,41,64590.12,33468.58,31121.54,Profit
9428,22.38,105.12,1799,4984,170,189110.88,139673.62,49437.26,Profit
2304,20.91,90.99,590,13552,13,53684.1,34692.9,18991.2,Profit
18685,19.2,28.34,2472,18538,157,70056.48,163185.4,-93128.92,Loss
19925,27.1,69.51,340,17475,193,23633.4,143114,-119480.6,Loss
19435,19.43,75.8,2140,2348,174,162212,150363.2,11848.8,Profit
9633,13.65,33.2,3985,13769,162,132302,158797.25,-26495.25,Loss
12372,18.93,64.3,4008,3541,191,257714.4,187284.44,70429.96,Profit
9996,48.87,109.37,3909,17051,132,427527.33,284079.83,143447.5,Profit
17458,23.5,56.91,1305,4879,28,74267.55,67004.5,7263.05,Profit
6475,25.01,103.32,57,8161,83,5889.24,57561.57,-51672.33,Loss
8184,30.94,115.14,1707,7467,129,196543.98,132965.58,63578.4,Profit
13875,49.25,82.29,4628,12699,164,380838.12,336503,44335.12,Profit
2622,15.87,99.9,4478,16174,107,447352.2,143361.86,303990.34,Profit
16988,35.66,46.91,1306,14031,13,61264.46,84090.96,-22826.5,Loss
9041,37.22,121.16,4000,19065,114,484640,233986,250654,Profit
17725,32.33,48.45,1089,1332,106,52762.05,107264.37,-54502.32,Loss
19458,8.99,18.2,2166,14710,5,39421.2,56140.34,-16719.14,Loss
8992,35.46,100,734,17905,97,73400,101424.64,-28024.64,Loss
16646,7.88,55.6,4068,10685,14,226180.8,66386.84,159793.96,Profit
18029,31.83,122.71,1847,3992,80,226645.37,120811.01,105834.36,Profit
5263,38.28,75.24,1874,12362,120,140999.76,149361.72,-8361.96,Loss
15060,14.49,43.92,3584,788,160,157409.28,147780.16,9629.12,Profit
16156,42.87,93.44,112,8316,178,10465.28,118273.44,-107808.16,Loss
9646,6.37,52.51,310,1576,155,16278.1,90696.7,-74418.6,Loss
12664,42.97,78.07,3621,16064,35,282691.47,201822.37,80869.1,Profit
3969,25.71,95.39,3242,1871,3,309254.38,90691.82,218562.56,Profit
4028,14.79,90.99,1538,1574,4,139942.62,30349.02,109593.6,Profit
4629,11.02,96.47,1180,5434,135,113834.6,90566.6,23268,Profit
4067,47.9,145.21,4325,539,131,628033.25,277273.5,350759.75,Profit
6941,8.27,35.67,404,4774,81,14410.68,55556.08,-41145.4,Loss
18770,13.96,85.85,2824,17066,111,242440.4,130759.04,111681.36,Profit
12555,20.65,60.68,638,5996,59,38713.84,61225.7,-22511.86,Loss
14081,32.91,100.94,654,13492,74,66014.76,86096.14,-20081.38,Loss
7819,29.52,77.64,2278,3008,129,176863.92,142573.56,34290.36,Profit
12046,10.65,110.03,223,12518,156,24536.69,104938.95,-80402.26,Loss
18717,18.04,91.2,403,8572,59,36753.6,64059.12,-27305.52,Loss
3711,15.74,111.04,3340,13848,118,370873.6,129130.6,241743,Profit
5853,14.61,98.27,483,14410,181,47464.41,117819.63,-70355.22,Loss
8715,23.5,113.89,3002,14452,138,341897.78,162714,179183.78,Profit
9942,36.68,118.31,308,16565,199,36439.48,137304.44,-100864.96,Loss
16507,14.79,61.25,917,818,103,56166.25,82387.43,-26221.18,Loss
16826,21.5,47.43,2656,12318,131,125974.08,151748,-25773.92,Loss
2762,22.59,60.25,3695,19287,135,222623.75,173019.05,49604.7,Profit
16850,48.94,51.94,645,14482,9,33501.3,67398.3,-33897,Loss
13112,47.96,100.84,443,11356,99,44672.12,95214.28,-50542.16,Loss
13652,41.01,92.01,4481,13016,197,412296.81,308933.81,103363,Profit
7122,15.87,68.87,2160,1228,141,148759.2,113129.2,35630,Profit
1481,8.06,105.49,3914,1787,168,412887.86,118814.84,294073.02,Profit
15536,19.26,110.49,4189,4501,114,462842.61,157717.14,305125.47,Profit
1153,17.01,34.02,2250,9252,62,76545,79677.5,-3132.5,Loss
8617,27.77,65.29,4047,1875,62,264228.63,153877.19,110351.44,Profit
2524,40,82.97,3903,15470,10,323831.91,179114,144717.91,Profit
3120,43.62,80.31,4999,12578,87,401469.69,277254.38,124215.31,Profit
16048,43.02,123.07,3804,524,11,468158.28,185720.08,282438.2,Profit
3343,21.19,74.07,4420,18038,62,327389.4,146040.8,181348.6,Profit
6136,35.93,93.57,3479,13157,77,325530.03,182793.47,142736.56,Profit
2240,19.08,104.53,4571,18343,104,477806.63,159797.68,318008.95,Profit
1060,7.74,88.53,4628,16083,56,409716.84,80963.72,328753.12,Profit
10130,36.57,50.66,263,5206,110,13323.58,79953.91,-66630.33,Loss
19023,5.44,77.12,2176,14163,49,167813.12,69523.44,98289.68,Profit
13312,23.41,67.52,188,16344,16,12693.76,42057.08,-29363.32,Loss
14350,19.82,49.99,4243,9912,73,212107.57,144858.26,67249.31,Profit
13418,36.2,42.15,4010,19040,116,169021.5,235620,-66598.5,Loss
2252,39.48,88.72,713,6479,93,63257.36,83380.24,-20122.88,Loss
9363,18.68,54.87,2882,8443,137,158135.34,140141.76,17993.58,Profit
10650,41.52,67.42,1123,9411,33,75712.66,83187.96,-7475.3,Loss
19706,18.23,88,4624,7986,88,406912,155987.52,250924.48,Profit
17314,25.08,102.26,4072,1605,163,416402.72,202544.76,213857.96,Profit
5090,37.72,62.95,211,4269,39,13282.45,36817.92,-23535.47,Loss
7960,36.18,42.08,1550,2979,114,65224,124018,-58794,Loss
4004,49.43,134.46,3228,10612,77,434036.88,212676.04,221360.84,Profit
17713,15.13,17.12,4540,11771,87,77724.8,141674.2,-63949.4,Loss
4640,34.8,128.57,4946,5231,153,635907.22,258491.8,377415.42,Profit
2341,32.44,95.57,235,11861,114,22458.95,78825.4,-56366.45,Loss
12855,46.18,79.04,4703,16587,56,371725.12,274626.54,97098.58,Profit
1338,12.04,37.44,2030,3672,176,76003.2,117451.2,-41448,Loss
6895,38.83,40.72,4591,14541,138,186945.52,268704.53,-81759.01,Loss
13254,30.57,54.88,4038,7568,41,221605.44,164763.66,56841.78,Profit
12344,17.36,32,879,7057,104,28128,86660.44,-58532.44,Loss
2750,26.35,87.95,3569,3830,99,313893.55,150123.15,163770.4,Profit
3421,20.02,37.51,3561,6522,59,133573.11,110734.22,22838.89,Profit
8119,31.07,84.4,3378,13143,156,285103.2,204216.46,80886.74,Profit
6319,45.01,104.43,3398,2558,122,354853.14,222820.98,132032.16,Profit
16896,30.62,61.13,2535,18754,120,154964.55,173271.7,-18307.15,Loss
12918,33.43,37.9,4661,4121,41,176651.9,193356.23,-16704.33,Loss
14849,28.34,33.03,1275,9837,66,42113.25,93819.5,-51706.25,Loss
5873,7.3,10.91,4901,4491,179,53469.91,135641.3,-82171.39,Loss
5806,15.48,89.65,2894,12065,62,259447.1,93670.12,165776.98,Profit
9592,27.14,59.62,2783,9003,158,165922.46,173125.62,-7203.16,Loss
13182,18.96,98.79,4470,17658,40,441591.3,135591.2,306000.1,Profit
17774,13.18,56.92,4046,15837,40,230298.32,106937.28,123361.04,Profit
13045,27.69,73.54,2720,11612,197,200028.8,198473.8,1555,Profit
5430,19.53,71.31,4832,14261,102,344569.92,165059.96,179509.96,Profit
9820,16.61,88.2,1548,10523,190,136533.6,141055.28,-4521.68,Loss
5232,25.88,53.96,1738,9385,15,93782.48,67096.44,26686.04,Profit
12122,11,24.04,2497,1876,124,60027.88,103465,-43437.12,Loss
16023,46.75,102.8,917,6439,131,94267.6,130831.75,-36564.15,Loss
9007,44.05,77.42,4362,9681,24,337706.04,222834.1,114871.94,Profit
18905,36.84,81.65,3058,3346,169,249685.7,219407.72,30277.98,Profit
10018,9.78,74.83,3574,7317,191,267442.42,147788.72,119653.7,Profit
2500,39.91,89.83,2062,7930,48,185229.46,116724.42,68505.04,Profit
7737,41.36,103.77,289,11651,189,29989.53,125841.04,-95851.51,Loss
4294,39.55,94.43,97,2216,48,9159.71,34346.35,-25186.64,Loss
19803,10.13,84.37,4099,7280,47,345832.63,92105.87,253726.76,Profit
5497,33.98,104.87,3507,3831,184,367779.09,220495.86,147283.23,Profit
18850,42.54,96.42,3329,9581,105,320982.18,222546.66,98435.52,Profit
1614,30.98,99.19,3278,18262,113,325144.82,177928.44,147216.38,Profit
10374,34.09,121.57,1298,4775,8,157797.86,63397.82,94400.04,Profit
3667,25.63,69.42,1217,11056,18,84484.14,54914.71,29569.43,Profit
14409,28.79,70.65,3540,14055,108,250101,184380.6,65720.4,Profit
17514,6.55,83.21,1947,17115,84,162009.87,89381.85,72628.02,Profit
3983,33.75,92.42,3586,10504,151,331418.12,211014.5,120403.62,Profit
13651,8.67,16.7,2229,5922,197,37224.3,137398.43,-100174.13,Loss
9230,24.58,113.9,4770,11688,65,543303,170664.6,372638.4,Profit
7640,18.17,22.22,2020,747,109,44884.4,99590.4,-54706,Loss
12779,29.54,104.63,4746,14098,46,496573.98,190073.84,306500.14,Profit
16317,11,87.12,2770,13727,66,241322.4,93514,147808.4,Profit
18304,36.12,131.48,2431,14311,80,319627.88,160422.72,159205.16,Profit
8564,40.78,47.14,1993,4241,197,93950.02,192579.54,-98629.52,Loss
16520,12.35,72.44,3196,16946,150,231518.24,147936.6,83581.64,Profit
14737,9.69,53.05,3533,2051,193,187425.65,147522.77,39902.88,Profit
10323,11.55,45.28,3746,6806,140,169618.88,130395.3,39223.58,Profit
16229,44.47,54.41,2875,3505,147,156428.75,221085.25,-64656.5,Loss
12713,28.77,85.47,1877,3822,150,160427.19,145536.29,14890.9,Profit
9502,26.03,74.46,272,16508,183,20253.12,124590.16,-104337.04,Loss
1545,9.8,21.15,1796,8497,106,37985.4,80642.8,-42657.4,Loss
5346,34.23,95.87,579,12966,126,55508.73,101131.17,-45622.44,Loss
10996,44.06,118.12,183,13016,190,21615.96,127074.98,-105459.02,Loss
16775,42.27,119.23,3853,17766,179,459393.19,286907.31,172485.88,Profit
14919,33.17,123.8,4536,893,176,561556.8,254271.12,307285.68,Profit
4810,8.39,49.93,151,3239,145,7539.43,81815.89,-74276.46,Loss
8206,10.06,105.41,3773,4667,13,397711.93,57329.38,340382.55,Profit
10005,7.22,93.9,2778,13694,28,260854.2,57756.16,203098.04,Profit
17371,16.59,46.94,2595,4731,123,121809.3,126653.05,-4843.75,Loss
13316,11.1,27.87,2608,19661,67,72684.96,95425.8,-22740.84,Loss
19416,16.7,60.8,3091,1901,5,187932.8,75436.7,112496.1,Profit
9436,22.33,63.12,2050,8586,100,129396,113798.5,15597.5,Profit
13984,47.43,105.43,998,1405,188,105219.14,156724.14,-51505,Loss
1271,32.47,91.23,1618,1029,143,147610.14,126336.46,21273.68,Profit
19155,42.57,117.82,4986,8511,81,587450.52,280420.02,307030.5,Profit
11616,36.97,88.45,2103,15501,44,186010.35,126864.91,59145.44,Profit
5361,10.06,21.44,3055,5118,119,65499.2,100712.3,-35213.1,Loss
8069,38.12,124.09,243,19505,46,30153.87,59837.16,-29683.29,Loss
18304,17.38,49.05,791,17456,157,38798.55,128007.58,-89209.03,Loss
4430,33.76,130.92,3956,17527,68,517919.52,189511.56,328407.96,Profit
13676,20.34,33.01,3009,15408,128,99327.09,154287.06,-54959.97,Loss
11816,49.9,145.77,4618,7513,49,673165.86,274267.2,398898.66,Profit
3050,16.86,26.87,2313,9984,171,62150.31,137531.18,-75380.87,Loss
12692,17.56,41.43,3470,12287,102,143762.1,136912.2,6849.9,Profit
2165,46.88,52.49,2973,13334,196,156052.77,252873.24,-96820.47,Loss
3033,6.11,76.92,3304,6105,77,254143.68,67825.44,186318.24,Profit
1145,36.35,121.53,3289,11177,20,399712.17,141877.15,257835.02,Profit
15269,37.64,81.61,3915,17438,111,319503.15,235567.6,83935.55,Profit
8832,42.64,135.56,87,14551,146,11793.72,100092.68,-88298.96,Loss
15286,48.85,108.29,1748,11266,192,189290.92,207941.8,-18650.88,Loss
3632,48.9,112.27,4616,10916,177,518238.32,328770.4,189467.92,Profit
5494,7.94,92.64,4076,15509,115,377600.64,110866.44,266734.2,Profit
16152,41.98,72.36,3263,14374,170,236110.68,252506.74,-16396.06,Loss
10155,34.08,70.15,1833,9685,12,128584.95,88308.64,40276.31,Profit
11426,34.13,124.82,2016,18005,79,251637.12,137737.08,113900.04,Profit
11233,10.78,100.98,152,16939,119,15348.96,89310.56,-73961.6,Loss
2828,34.26,131.93,91,15160,36,12005.63,39105.66,-27100.03,Loss
13260,49.21,139.49,3044,9349,8,424607.56,176404.24,248203.32,Profit
10130,46.03,59.64,3268,5236,28,194903.52,179792.04,15111.48,Profit
5805,24.76,107.31,3040,3109,116,326222.4,142184.4,184038,Profit
1806,6.8,48.37,4338,15175,86,209829.06,89479.4,120349.66,Profit
9202,21.3,120.39,3419,4409,188,411613.41,180435.7,231177.71,Profit
2868,42.19,89.95,1111,17287,49,99934.45,91528.09,8406.36,Profit
15561,36.57,92.4,2599,15367,166,240147.6,208973.43,31174.17,Profit
16512,25.67,79.12,1726,1294,80,136561.12,102112.42,34448.7,Profit
